Component,Origin,Licence,Copyright
object.assign,npm,MIT,Jordan Harband (https://www.npmjs.com/package/object.assign)
object.fromentries,npm,MIT,Jordan Harband (https://www.npmjs.com/package/object.fromentries)
object.groupby,npm,MIT,Jordan Harband (https://github.com/es-shims/Object.groupBy#readme)
object.values,npm,MIT,Jordan Harband (https://www.npmjs.com/package/object.values)
once,npm,ISC,Isaac Z. Schlueter (http://blog.izs.me/)
onetime,npm,MIT,Sindre Sorhus (https://sindresorhus.com)
opencollective-postinstall,npm,MIT,Xavier Damman (https://github.com/opencollective/opencollective-postinstall#readme)
optionator,npm,MIT,George Zahariev (https://github.com/gkz/optionator)
os-homedir,npm,MIT,Sindre Sorhus (sindresorhus.com)
os-tmpdir,npm,MIT,Sindre Sorhus (sindresorhus.com)
osenv,npm,ISC,Isaac Z. Schlueter (http://blog.izs.me/)
outdent,npm,MIT,Andrew Bradley (https://github.com/cspotcode/outdent#readme)
outvariant,npm,MIT,Artem Zakharchenko (https://www.npmjs.com/package/outvariant)
p-finally,npm,MIT,Sindre Sorhus (sindresorhus.com)
p-limit,npm,MIT,Sindre Sorhus (sindresorhus.com)
p-locate,npm,MIT,Sindre Sorhus (sindresorhus.com)
p-map,npm,MIT,Sindre Sorhus (https://sindresorhus.com)
p-queue,npm,MIT,(https://www.npmjs.com/package/p-queue)
p-timeout,npm,MIT,Sindre Sorhus (sindresorhus.com)
p-try,npm,MIT,Sindre Sorhus (sindresorhus.com)
package-json-from-dist,npm,BlueOak-1.0.0,Isaac Z. Schlueter (https://izs.me)
pad,npm,BSD-3-Clause,David Worms (https://github.com/adaltas/node-pad)
parent-module,npm,MIT,Sindre Sorhus (sindresorhus.com)
parse-json,npm,MIT,Sindre Sorhus (https://sindresorhus.com)
path-exists,npm,MIT,Sindre Sorhus (sindresorhus.com)
path-is-absolute,npm,MIT,Sindre Sorhus (sindresorhus.com)
path-key,npm,MIT,Sindre Sorhus (sindresorhus.com)
path-parse,npm,MIT,Javier Blanco (https://github.com/jbgutierrez/path-parse#readme)
path-scurry,npm,BlueOak-1.0.0,Isaac Z. Schlueter (https://blog.izs.me)
path-type,npm,MIT,Sindre Sorhus (sindresorhus.com)
performance-now,npm,MIT,Braveg1rl (https://github.com/braveg1rl/performance-now)
picocolors,npm,ISC,Alexey Raspopov (https://www.npmjs.com/package/picocolors)
picomatch,npm,MIT,Jon Schlinkert (https://github.com/micromatch/picomatch)
pirates,npm,MIT,Ari Porad (https://github.com/danez/pirates#readme)
pkg-dir,npm,MIT,Sindre Sorhus (sindresorhus.com)
playwright,npm,Apache-2.0,Microsoft Corporation (https://playwright.dev)
playwright-core,npm,Apache-2.0,Microsoft Corporation (https://playwright.dev)
please-upgrade-node,npm,MIT,typicode (https://github.com/typicode/please-upgrade-node#readme)
possible-typed-array-names,npm,MIT,Jordan Harband (https://github.com/ljharb/possible-typed-array-names#readme)
postcss,npm,MIT,Andrey Sitnik (https://postcss.org/)
prelude-ls,npm,MIT,George Zahariev (http://preludels.com)
prettier,npm,MIT,James Long (https://prettier.io)
prettier-linter-helpers,npm,MIT,(https://github.com/prettier/prettier-linter-helpers#readme)
pretty-bytes,npm,MIT,Sindre Sorhus (https://sindresorhus.com)
pretty-format,npm,MIT,James Kyle (https://www.npmjs.com/package/pretty-format)
process-nextick-args,npm,MIT,(https://github.com/calvinmetcalf/process-nextick-args)
propagate,npm,MIT,Pedro Teixeira (http://github.com/nock/propagate#readme)
psl,npm,MIT,Lupo Montero (https://lupomontero.com/)
pump,npm,MIT,Mathias Buus Madsen (https://www.npmjs.com/package/pump)
punycode,npm,MIT,Mathias Bynens (https://mths.be/punycode)
pure-rand,npm,MIT,Nicolas DUBIEN (https://github.com/dubzzz/pure-rand#readme)
qs,npm,BSD-3-Clause,(https://github.com/ljharb/qs)
queue-microtask,npm,MIT,Feross Aboukhadijeh (https://github.com/feross/queue-microtask)
randombytes,npm,MIT,(https://github.com/crypto-browserify/randombytes)
react-is,npm,MIT,(https://reactjs.org/)
readable-stream,npm,MIT,(https://www.npmjs.com/package/readable-stream)
regenerate,npm,MIT,Mathias Bynens (https://mths.be/regenerate)
regenerate-unicode-properties,npm,MIT,Mathias Bynens (https://github.com/mathiasbynens/regenerate-unicode-properties)
regenerator-runtime,npm,MIT,Ben Newman (https://www.npmjs.com/package/regenerator-runtime)
regenerator-transform,npm,MIT,Ben Newman (https://www.npmjs.com/package/regenerator-transform)
regexp.prototype.flags,npm,MIT,Jordan Harband (https://www.npmjs.com/package/regexp.prototype.flags)
regexpu-core,npm,MIT,Mathias Bynens (https://mths.be/regexpu)
regjsparser,npm,BSD-2-Clause,'Julian Viereck' (https://github.com/jviereck/regjsparser)
request,npm,Apache-2.0,Mikeal Rogers (https://www.npmjs.com/package/request)
require-directory,npm,MIT,Troy Goode (https://github.com/troygoode/node-require-directory/)
require-from-string,npm,MIT,Vsevolod Strukchinsky (github.com/floatdrop)
resolve-cwd,npm,MIT,Sindre Sorhus (sindresorhus.com)
resolve-from,npm,MIT,Sindre Sorhus (sindresorhus.com)
resolve-pkg-maps,npm,MIT,Hiroki Osame (https://www.npmjs.com/package/resolve-pkg-maps)
restore-cursor,npm,MIT,Sindre Sorhus (sindresorhus.com)
retry,npm,MIT,Tim Koschützki (https://github.com/tim-kos/node-retry)
reusify,npm,MIT,Matteo Collina (https://github.com/mcollina/reusify#readme)
rimraf,npm,ISC,Isaac Z. Schlueter (http://blog.izs.me/)
rollup,npm,MIT,Rich Harris (https://rollupjs.org/)
rollup-plugin-dts,virtual,LGPL-3.0-only,Arpad Borsos (https://github.com/Swatinem/rollup-plugin-dts#readme)
rollup-plugin-esbuild,virtual,MIT,EGOIST (https://www.npmjs.com/package/rollup-plugin-esbuild)
rollup-plugin-import-css,virtual,MIT,Jacob Leeson (https://github.com/jleeson/rollup-plugin-import-css#readme)
run-parallel,npm,MIT,Feross Aboukhadijeh (https://github.com/feross/run-parallel)
rxjs,npm,Apache-2.0,Ben Lesh (https://github.com/ReactiveX/RxJS)
safe-array-concat,npm,MIT,Jordan Harband (https://github.com/ljharb/safe-array-concat#readme)
safe-buffer,npm,MIT,Feross Aboukhadijeh (https://github.com/feross/safe-buffer)
safe-regex-test,npm,MIT,Jordan Harband (https://github.com/ljharb/safe-regex-test#readme)
safer-buffer,npm,MIT,Nikita Skovoroda (https://github.com/ChALkeR)
schema-utils,npm,MIT,webpack Contrib (https://github.com/webpack/schema-utils)
semver,npm,ISC,GitHub Inc. (https://www.npmjs.com/package/semver)
semver-compare,npm,MIT,James Halliday (https://github.com/substack/semver-compare)
semver-regex,npm,MIT,Sindre Sorhus (sindresorhus.com)
serialize-javascript,npm,BSD-3-Clause,Eric Ferraiuolo (https://github.com/yahoo/serialize-javascript)
set-blocking,npm,ISC,Ben Coe (https://github.com/yargs/set-blocking#readme)
set-function-length,npm,MIT,Jordan Harband (https://github.com/ljharb/set-function-length#readme)
set-function-name,npm,MIT,Jordan Harband (https://github.com/ljharb/set-function-name#readme)
shebang-command,npm,MIT,Kevin Mårtensson (github.com/kevva)
shebang-regex,npm,MIT,Sindre Sorhus (sindresorhus.com)
side-channel,npm,MIT,Jordan Harband (https://github.com/ljharb/side-channel#readme)
signal-exit,npm,ISC,Ben Coe (https://github.com/tapjs/signal-exit)
simple-git,npm,MIT,Steve King (https://www.npmjs.com/package/simple-git)
slash,npm,MIT,Sindre Sorhus (sindresorhus.com)
slice-ansi,npm,MIT,(https://www.npmjs.com/package/slice-ansi)
smob,npm,MIT,Peter Placzek (https://github.com/Tada5hi/smob#readme)
source-map,npm,BSD-3-Clause,Nick Fitzgerald (https://github.com/mozilla/source-map)
source-map-js,npm,BSD-3-Clause,Valentin 7rulnik Semirulnik (https://github.com/7rulnik/source-map-js)
source-map-support,npm,MIT,(https://www.npmjs.com/package/source-map-support)
sprintf-js,npm,BSD-3-Clause,Alexandru Marasteanu (http://alexei.ro/)
sshpk,npm,MIT,Joyent  Inc (https://github.com/arekinath/node-sshpk#readme)
stack-utils,npm,MIT,James Talmage (github.com/jamestalmage)
strict-event-emitter,npm,MIT,Artem Zakharchenko (https://www.npmjs.com/package/strict-event-emitter)
string_decoder,npm,MIT,(https://github.com/nodejs/string_decoder)
string-argv,npm,MIT,Anthony McCormick (https://github.com/mccormicka/string-argv)
string-length,npm,MIT,Sindre Sorhus (https://sindresorhus.com)
string-width,npm,MIT,Sindre Sorhus (sindresorhus.com)
string.prototype.trim,npm,MIT,Jordan Harband (http://ljharb.codes)
string.prototype.trimend,npm,MIT,Jordan Harband (https://www.npmjs.com/package/string.prototype.trimend)
string.prototype.trimstart,npm,MIT,Jordan Harband (https://www.npmjs.com/package/string.prototype.trimstart)
stringify-object,npm,BSD-2-Clause,Sindre Sorhus (sindresorhus.com)
strip-ansi,npm,MIT,Sindre Sorhus (sindresorhus.com)
strip-bom,npm,MIT,Sindre Sorhus (sindresorhus.com)
strip-final-newline,npm,MIT,Sindre Sorhus (sindresorhus.com)
strip-json-comments,npm,MIT,Sindre Sorhus (https://sindresorhus.com)
supports-color,npm,MIT,Sindre Sorhus (sindresorhus.com)
supports-preserve-symlinks-flag,npm,MIT,Jordan Harband (https://github.com/inspect-js/node-supports-preserve-symlinks-flag#readme)
synckit,npm,MIT,JounQin (https://www.1stG.me)
tapable,npm,MIT,Tobias Koppers @sokra (https://github.com/webpack/tapable)
tar,npm,ISC,Isaac Z. Schlueter (http://blog.izs.me/)
terser,npm,BSD-2-Clause,Mihai Bazon (https://terser.org)
terser-webpack-plugin,virtual,MIT,webpack Contrib Team (https://github.com/webpack-contrib/terser-webpack-plugin)
test-exclude,npm,ISC,Ben Coe (https://istanbul.js.org/)
text-table,npm,MIT,James Halliday (https://github.com/substack/text-table)
through,npm,MIT,Dominic Tarr (https://github.com/dominictarr/through)
tinyglobby,npm,MIT,Superchupu (https://github.com/SuperchupuDev/tinyglobby#readme)
tmpl,npm,BSD-3-Clause,Naitik Shah (https://github.com/daaku/nodejs-tmpl)
to-fast-properties,npm,MIT,Sindre Sorhus (sindresorhus.com)
to-regex-range,npm,MIT,Jon Schlinkert (https://github.com/micromatch/to-regex-range)
tough-cookie,npm,BSD-3-Clause,Jeremy Stashewsky (https://github.com/salesforce/tough-cookie)
ts-api-utils,virtual,MIT,JoshuaKGoldberg (https://www.npmjs.com/package/ts-api-utils)
ts-jest,virtual,MIT,Kulshekhar Kabra (https://kulshekhar.github.io/ts-jest)
ts-loader,virtual,MIT,John Reilly (https://github.com/TypeStrong/ts-loader)
ts-node,virtual,MIT,Blake Embrey (https://typestrong.org/ts-node)
tsconfig-paths,npm,MIT,Jonas Kello (https://www.npmjs.com/package/tsconfig-paths)
tslib,npm,0BSD,Microsoft Corp. (https://www.typescriptlang.org/)
tunnel-agent,npm,Apache-2.0,Mikeal Rogers (http://www.futurealoof.com)
tweetnacl,npm,Unlicense,TweetNaCl-js contributors (https://tweetnacl.js.org)
typanion,npm,MIT,(https://mael.dev/typanion/)
type-check,npm,MIT,George Zahariev (https://github.com/gkz/type-check)
type-detect,npm,MIT,Jake Luer (http://alogicalparadox.com)
type-fest,npm,(MIT OR CC0-1.0),Sindre Sorhus (https://sindresorhus.com)
typed-array-buffer,npm,MIT,Jordan Harband (https://github.com/ljharb/typed-array-buffer#readme)
typed-array-byte-length,npm,MIT,Jordan Harband (https://github.com/inspect-js/typed-array-byte-length#readme)
typed-array-byte-offset,npm,MIT,Jordan Harband (https://github.com/inspect-js/typed-array-byte-offset#readme)
typed-array-length,npm,MIT,Jordan Harband (https://github.com/inspect-js/typed-array-length#readme)
unbox-primitive,npm,MIT,Jordan Harband (https://github.com/ljharb/unbox-primitive#readme)
undici-types,npm,MIT,(https://undici.nodejs.org)
unicode-canonical-property-names-ecmascript,npm,MIT,Mathias Bynens (https://github.com/mathiasbynens/unicode-canonical-property-names-ecmascript)
unicode-match-property-ecmascript,npm,MIT,Mathias Bynens (https://github.com/mathiasbynens/unicode-match-property-ecmascript)
unicode-match-property-value-ecmascript,npm,MIT,Mathias Bynens (https://github.com/mathiasbynens/unicode-match-property-value-ecmascript)
unicode-property-aliases-ecmascript,npm,MIT,Mathias Bynens (https://github.com/mathiasbynens/unicode-property-aliases-ecmascript)
unplugin,npm,MIT,(https://unplugin.unjs.io)
unrs-resolver,npm,MIT,JounQin (https://github.com/unrs/unrs-resolver#readme)
update-browserslist-db,virtual,MIT,Andrey Sitnik (https://www.npmjs.com/package/update-browserslist-db)
uri-js,npm,BSD-2-Clause,Gary Court (https://github.com/garycourt/uri-js)
util-deprecate,npm,MIT,Nathan Rajlich (https://github.com/TooTallNate/util-deprecate)
uuid,npm,MIT,(https://www.npmjs.com/package/uuid)
v8-compile-cache-lib,npm,MIT,Andrew Bradley (https://www.npmjs.com/package/v8-compile-cache-lib)
v8-to-istanbul,npm,ISC,Ben Coe (https://www.npmjs.com/package/v8-to-istanbul)
verror,npm,MIT,(https://www.npmjs.com/package/verror)
vite,virtual,MIT,Evan You (https://vite.dev)
walker,npm,Apache-2.0,Naitik Shah (https://github.com/daaku/nodejs-walker)
watchpack,npm,MIT,Tobias Koppers @sokra (https://github.com/webpack/watchpack)
wcwidth,npm,MIT,Tim Oxley (https://github.com/timoxley/wcwidth#readme)
webpack,virtual,MIT,Tobias Koppers @sokra (https://github.com/webpack/webpack)
webpack-sources,npm,MIT,Tobias Koppers @sokra (https://github.com/webpack/webpack-sources#readme)
webpack-virtual-modules,npm,MIT,SysGears INC (https://github.com/sysgears/webpack-virtual-modules#readme)
which,npm,ISC,Isaac Z. Schlueter (http://blog.izs.me)
which-boxed-primitive,npm,MIT,Jordan Harband (https://github.com/inspect-js/which-boxed-primitive#readme)
which-pm-runs,npm,MIT,Zoltan Kochan (https://github.com/zkochan/which-pm-runs#readme)
which-typed-array,npm,MIT,Jordan Harband (http://ljharb.codes)
wide-align,npm,ISC,Rebecca Turner (http://re-becca.org/)
wrap-ansi,npm,MIT,Sindre Sorhus (sindresorhus.com)
wrappy,npm,ISC,Isaac Z. Schlueter (https://github.com/npm/wrappy)
write-file-atomic,npm,ISC,GitHub Inc. (https://github.com/npm/write-file-atomic)
y18n,npm,ISC,Ben Coe (https://github.com/yargs/y18n)
yallist,npm,ISC,Isaac Z. Schlueter (http://blog.izs.me/)
yaml,npm,ISC,Eemeli Aro (https://eemeli.org/yaml/)
yargs,npm,MIT,(https://yargs.js.org/)
yargs-parser,npm,ISC,Ben Coe (https://www.npmjs.com/package/yargs-parser)
yn,npm,MIT,Sindre Sorhus (sindresorhus.com)
yocto-queue,npm,MIT,Sindre Sorhus (https://sindresorhus.com)
